gene,baseMean,log2FoldChange,pvalue,padj
Dars,2422.1311962670743,-0.2888971495193921,4.1746086726799045e-05,7.80955597063906e-05
Gm43684,9.484858905638726,4.030916736472431,4.235953407043014e-05,7.92322330814412e-05
Asf1a,218.1228137789352,0.664394517374412,4.250106800848427e-05,7.948601503818759e-05
Orm2,10.229884026175851,3.5426689312824844,4.2542323545965193e-05,7.955221102258321e-05
Armc9,70.92153818186036,-1.210847050305881,4.261312228822115e-05,7.967362561161348e-05
Trub2,498.4023036502478,-0.44583572333926014,4.2687272981234764e-05,7.980127302675674e-05
Ttc14,824.938239423008,-0.36446384697179796,4.286630478222337e-05,8.01249271707381e-05
Ikbkg,1702.3879475524798,0.3187258327602768,4.2960457704793515e-05,8.028985995936488e-05
Ttl,483.8746826633666,-0.4580426272717647,4.30132285142647e-05,8.0377417931254e-05
Saa1,20.667148709220232,8.82490441473266,4.3163681690300095e-05,8.064746252775408e-05
B130055M24Rik,22.432232675987745,-2.2188895033005265,4.3316285638544755e-05,8.09214507648784e-05
Bcat2,895.7877215598519,0.35490177269524814,4.40637292323938e-05,8.230646217153068e-05
Ube2g2,1423.8810378704395,-0.3315867699322888,4.4324961811910936e-05,8.278302581657664e-05
Mmachc,250.67665684261996,-0.5881425156417869,4.455306667943781e-05,8.319759624524539e-05
P2ry10,21.02689653891564,1.9432529970560504,4.461812686767089e-05,8.330762779941741e-05
Ndnf,48.211014938882265,-1.44912096587628,4.470163506702517e-05,8.345206909638284e-05
Syncrip,4541.529346368402,0.24506361622235662,4.4835086628660124e-05,8.368969553045001e-05
Zfp397,708.7075469625796,-0.46528208457925935,4.5215825474141556e-05,8.43887824812316e-05
Mark3,1014.6638098563714,0.3333558153206267,4.5228932286605115e-05,8.440163965608714e-05
Otud3,169.07912057821275,-0.737698847974753,4.5274282324612745e-05,8.447465405832212e-05
Cybc1,2207.48944775115,0.27231423994682175,4.531426002590495e-05,8.45376258372229e-05
Zkscan4,11.857344483901523,-4.307548756863177,4.535991784078021e-05,8.461117559031889e-05
Vamp3,2558.17910669148,0.2874319278504292,4.546296792865444e-05,8.479174590046103e-05
Camp,45.509785388685934,1.4903229121344983,4.586278599536434e-05,8.5525684448561e-05
Tug1,1893.4893947477224,0.32720240731478045,4.6039607627305375e-05,8.584363103475868e-05
Pink1,655.732341034438,-0.5474779118309946,4.611305827505085e-05,8.596877530909769e-05
Iqcc,136.745699774966,-0.8314501346873487,4.620743436588919e-05,8.613289125001096e-05
Tyw5,144.55850715144658,0.9008315708429789,4.623697334087982e-05,8.61761191993825e-05
Ranbp3,1728.5605737127896,0.3155801671502986,4.626715532825746e-05,8.622053355653031e-05
Emd,1111.9736246420289,0.3803872217258824,4.6394459089152405e-05,8.644590084779063e-05
Elfn1,20.78612964810019,8.816808134463715,4.704113585743814e-05,8.763881116234769e-05
Mia2,2897.8788455021254,-0.2718473682605271,4.7553079392897784e-05,8.858041713725738e-05
Mvb12a,965.5681268970251,0.3818524035385736,4.7674085978491475e-05,8.879363927991812e-05
Gm6206,40.262115594232355,1.435731327897089,4.777286046095415e-05,8.89654010010964e-05
Rbak,153.69806798599757,-0.7737094602322795,4.8371470412005215e-05,9.006781061351973e-05
